web-scraper-order,web-scraper-start-url,Name,Status,Fall,Year,Place,Type,Mass,MetBull
"1685536964-70","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Rio do Pires **","Official","","1991","Bahia, Brazil","L6","118 g","77"
"1685536964-71","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Rio Negro","Official","Y","1934","Parana, Brazil","L4","1310 g",""
"1685536964-72","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Sanclerlandia **","Official","","1971","Goias, Brazil","Iron, IIIAB","279 kg","58"
"1685536964-73","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Santa Barbara","Official","Y","1873","Rio Grande do Sul, Brazil","L4","400 g",""
"1685536964-74","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Santa Catharina","Official","","1875","Santa Catarina, Brazil","Iron, IAB-ung","7 t",""
"1685536964-75","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Santa Filomena **","Official","Yc","2020","Pernambuco, Brazil","H5-6","80 kg","109"
"1685536964-76","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Santa Luzia","Official","","1921","Goias, Brazil","Iron, IIAB","1.92 t",""
"1685536964-77","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Santa Marta **","Crater","","66-100 Ma","Piaui, Brazil","Impact Crater","",""
"1685536964-78","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Santa Vitoria do Palmar **","Official","","2003 or 2004","Rio Grande do Sul, Brazil","L3","50.4 kg","91"
"1685536964-79","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Santo Antônio do Descoberto **","Official","","2011","Goias, Brazil","Iron, IIAB","52.15 kg","103"
"1685536964-80","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","São João Nepomuceno **","Official","","1960","Minas Gerais, Brazil","Iron, IVA-an","15.3 kg","58"
"1685536964-81","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","São Jose do Rio Preto","Official","Y","1962","Sao Paulo, Brazil","H4","927 g",""
"1685536964-82","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","São Sebastião da Boa Vista","Doubtful","","1914","Rio Grande do Sul, Brazil","Doubtful meteorite","",""
"1685536964-83","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Sapopema **","Official","","2010","Parana, Brazil","Iron, IVA","12 kg","103"
"1685536964-84","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Serra da Cangalha **","Crater","","<300 Ma","Tocantins, Brazil","Impact Crater","",""
